Census Tract,Total,Poverty,TotalWhite,PovertyWhite,TotalBlack,PovertyBlack,TotalAIAN,PovertyAIAN,TotalAsian,PovertyAsian,TotalNHPI,PovertyNHPI,TotalOther,PovertyOther,TotalMixed,PovertyMixed,TotalWhiteNH,PovertyWhiteNH,TotalLatine,PovertyLatine,Inequality,pWhiteNH,pLatine,pBlack,pAIAN,pAsian,pNHPI,pOther,pMixed,pWhiteNH_poverty,pLatine_poverty,pBlack_poverty,pAIAN_poverty,pAsian_poverty,pNHPI_poverty,pOther_poverty,pMixed_poverty
6001400100,3099,108,2384,66,96,12,0,0,398,12,0,0,34,18,187,0,2307,66,118,18,0.4715,0.744433688286544,0.03807679896740884,0.030977734753146177,0,0.12842852533075186,0,0.010971281058405937,0.060342045821232655,0.02860858257477243,0.15254237288135594,0.125,NA,0.03015075376884422,NA,0.5294117647058824,0
6001400200,1994,127,1564,100,52,8,4,0,171,19,0,0,17,0,186,0,1462,68,174,32,0.3754,0.7331995987963892,0.08726178535606821,0.026078234704112337,0.0020060180541624875,0.08575727181544635,0,0.008525576730190571,0.09327983951855567,0.046511627906976744,0.1839080459770115,0.15384615384615385,0,0.1111111111111111,NA,0,0
6001400300,5011,281,3725,130,457,135,0,0,578,16,23,0,131,0,97,0,3414,113,345,17,0.4806,0.6813011374975055,0.06884853322690082,0.0911993614049092,0,0.11534623827579325,0.004589902215126721,0.026142486529634804,0.01935741368988226,0.03309900410076157,0.04927536231884058,0.29540481400437635,NA,0.02768166089965398,0,0,0
6001400400,3994,405,2738,121,289,88,44,0,420,41,0,0,198,155,305,0,2544,103,484,173,0.4381,0.6369554331497246,0.12118177265898848,0.07235853780671006,0.011016524787180772,0.10515773660490736,0,0.04957436154231347,0.07636454682023035,0.0404874213836478,0.3574380165289256,0.3044982698961938,0,0.09761904761904762,NA,0.7828282828282829,0
6001400500,4106,504,2018,212,882,143,0,0,446,47,22,22,110,13,628,67,1856,212,390,42,0.4126,0.4520214320506576,0.09498295177788602,0.21480759863614224,0,0.10862152946906965,0.00535801266439357,0.02679006332196785,0.15294690696541646,0.11422413793103449,0.1076923076923077,0.1621315192743764,NA,0.10538116591928251,1,0.11818181818181818,0.10668789808917198
6001400600,1745,166,936,74,375,29,3,3,193,54,15,0,39,0,184,6,860,59,131,32,0.4027,0.49283667621776506,0.07507163323782234,0.2148997134670487,0.0017191977077363897,0.11060171919770774,0.008595988538681949,0.022349570200573064,0.10544412607449857,0.0686046511627907,0.24427480916030533,0.07733333333333334,1,0.27979274611398963,0,0,0.03260869565217391
6001400700,5120,437,2183,207,1459,180,14,14,329,12,0,0,572,7,563,17,1963,175,994,64,0.4447,0.3833984375,0.194140625,0.2849609375,0.002734375,0.0642578125,0,0.11171875,0.1099609375,0.0891492613346918,0.06438631790744467,0.12337217272104181,1,0.0364741641337386,NA,0.012237762237762238,0.03019538188277087
6001400800,4069,443,1827,153,1007,241,29,0,618,27,0,0,204,8,384,14,1772,153,432,8,0.4698,0.4354878348488572,0.10616859179159499,0.24748095355124108,0.0071270582452691075,0.15188006881297617,0,0.05013516834603097,0.09437208159252888,0.0863431151241535,0.018518518518518517,0.23932472691161866,0,0.043689320388349516,NA,0.0392156862745098,0.036458333333333336
6001400900,2379,342,1146,78,711,73,61,61,101,15,0,0,207,112,153,3,1029,27,299,163,0.5056,0.43253467843631777,0.12568306010928962,0.2988650693568726,0.02564102564102564,0.042454812946616224,0,0.08701134930643127,0.06431273644388398,0.026239067055393587,0.5451505016722408,0.10267229254571027,1,0.1485148514851485,NA,0.5410628019323671,0.0196078431372549
6001401000,6127,1127,2500,357,1975,560,10,0,412,22,95,0,542,72,593,116,2049,115,1147,416,0.4421,0.33442141341602744,0.18720417822751753,0.32234372449812304,0.0016321201240411295,0.06724334911049454,0.01550514117839073,0.08846091072302921,0.09678472335563898,0.05612493899463153,0.36268526591107236,0.28354430379746837,0,0.05339805825242718,0,0.13284132841328414,0.19561551433389546
